"Kod";"Nazwa";"nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł]";
1427000;"Powiat sierpecki";2807;
1428000;"Powiat sochaczewski";6398;
1429000;"Powiat sokołowski";6381;
1430000;"Powiat szydłowiecki";1044;
1432000;"Powiat warszawski zachodni";7808;
1433000;"Powiat węgrowski";4945;
1434000;"Powiat wołomiński";2438;
1435000;"Powiat wyszkowski";3892;
1436000;"Powiat zwoleński";860;
1437000;"Powiat żuromiński";800;
1438000;"Powiat żyrardowski";3372;
1461000;"Powiat m. Ostrołęka";10163;
1462000;"Powiat m. Płock";29138;
1463000;"Powiat m. Radom";5046;
1464000;"Powiat m. Siedlce";2780;
1465000;"Powiat m. st. Warszawa";19592;
1601000;"Powiat brzeski";2718;
1602000;"Powiat głubczycki";1064;
1603000;"Powiat kędzierzyńsko-kozielski";6143;
1604000;"Powiat kluczborski";1013;
1605000;"Powiat krapkowicki";4603;
1606000;"Powiat namysłowski";2768;
1607000;"Powiat nyski";6299;
1608000;"Powiat oleski";2353;
1609000;"Powiat opolski";2151;
1610000;"Powiat prudnicki";1737;
1611000;"Powiat strzelecki";4470;
1661000;"Powiat m. Opole";9954;
1801000;"Powiat bieszczadzki";1209;
1802000;"Powiat brzozowski";973;
1803000;"Powiat dębicki";5911;
1804000;"Powiat jarosławski";5706;
1805000;"Powiat jasielski";1922;
1806000;"Powiat kolbuszowski";2008;
1807000;"Powiat krośnieński";1523;
1808000;"Powiat leżajski";1698;
1809000;"Powiat lubaczowski";1094;
1810000;"Powiat łańcucki";6386;
1811000;"Powiat mielecki";5004;
1812000;"Powiat niżański";932;
1813000;"Powiat przemyski";7001;
1814000;"Powiat przeworski";4366;
1815000;"Powiat ropczycko-sędziszowski";1801;
1816000;"Powiat rzeszowski";5164;
1817000;"Powiat sanocki";6306;
1818000;"Powiat stalowowolski";3902;
1819000;"Powiat strzyżowski";1177;
1820000;"Powiat tarnobrzeski";2533;
1821000;"Powiat leski";2178;
1861000;"Powiat m. Krosno";5283;
1862000;"Powiat m. Przemyśl";3826;
1863000;"Powiat m. Rzeszów";6493;
1864000;"Powiat m. Tarnobrzeg";1362;
2001000;"Powiat augustowski";2196;
2002000;"Powiat białostocki";3042;
2003000;"Powiat bielski";3670;
2004000;"Powiat grajewski";3472;
2005000;"Powiat hajnowski";3331;
2006000;"Powiat kolneński";2312;
2007000;"Powiat łomżyński";4075;
2008000;"Powiat moniecki";589;
2009000;"Powiat sejneński";2536;
2010000;"Powiat siemiatycki";4170;
2011000;"Powiat sokólski";4020;
2012000;"Powiat suwalski";5905;
2013000;"Powiat wysokomazowiecki";11161;
2014000;"Powiat zambrowski";5288;
2061000;"Powiat m. Białystok";3710;
2062000;"Powiat m. Łomża";5208;
2063000;"Powiat m. Suwałki";3321;
2201000;"Powiat bytowski";3322;
2202000;"Powiat chojnicki";2559;
2203000;"Powiat człuchowski";2053;
2204000;"Powiat gdański";5292;
