"Kod";"Nazwa";"poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba]";
1418000;"Powiat piaseczyński";2,02;
1419000;"Powiat płocki";4,19;
1420000;"Powiat płoński";2,50;
1421000;"Powiat pruszkowski";4,72;
1422000;"Powiat przasnyski";2,69;
1423000;"Powiat przysuski";1,79;
1424000;"Powiat pułtuski";2,89;
1425000;"Powiat radomski";3,12;
1426000;"Powiat siedlecki";5,94;
1427000;"Powiat sierpecki";1,92;
1428000;"Powiat sochaczewski";4,74;
1429000;"Powiat sokołowski";9,36;
1430000;"Powiat szydłowiecki";2,42;
1432000;"Powiat warszawski zachodni";3,54;
1433000;"Powiat węgrowski";3,49;
1434000;"Powiat wołomiński";3,09;
1435000;"Powiat wyszkowski";4,31;
1436000;"Powiat zwoleński";3,05;
1437000;"Powiat żuromiński";2,89;
1438000;"Powiat żyrardowski";3,35;
1461000;"Powiat m. Ostrołęka";5,75;
1462000;"Powiat m. Płock";4,33;
1463000;"Powiat m. Radom";4,48;
1464000;"Powiat m. Siedlce";5,06;
1465000;"Powiat m. st. Warszawa";3,43;
1601000;"Powiat brzeski";5,69;
1602000;"Powiat głubczycki";3,70;
1603000;"Powiat kędzierzyńsko-kozielski";8,07;
1604000;"Powiat kluczborski";7,61;
1605000;"Powiat krapkowicki";5,76;
1606000;"Powiat namysłowski";5,20;
1607000;"Powiat nyski";6,99;
1608000;"Powiat oleski";4,36;
1609000;"Powiat opolski";5,21;
1610000;"Powiat prudnicki";4,62;
1611000;"Powiat strzelecki";8,70;
1661000;"Powiat m. Opole";6,42;
1801000;"Powiat bieszczadzki";6,38;
1802000;"Powiat brzozowski";6,19;
1803000;"Powiat dębicki";5,42;
1804000;"Powiat jarosławski";4,67;
1805000;"Powiat jasielski";5,76;
1806000;"Powiat kolbuszowski";2,73;
1807000;"Powiat krośnieński";3,27;
1808000;"Powiat leżajski";3,90;
1809000;"Powiat lubaczowski";4,36;
