"Kod";"Nazwa";"współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%]";
1417000;"Powiat otwocki";95,80;
1418000;"Powiat piaseczyński";96,02;
1419000;"Powiat płocki";81,42;
1420000;"Powiat płoński";95,08;
1421000;"Powiat pruszkowski";92,81;
1422000;"Powiat przasnyski";94,74;
1423000;"Powiat przysuski";92,56;
1424000;"Powiat pułtuski";95,44;
1425000;"Powiat radomski";85,89;
1426000;"Powiat siedlecki";83,95;
1427000;"Powiat sierpecki";92,52;
1428000;"Powiat sochaczewski";97,33;
1429000;"Powiat sokołowski";93,95;
1430000;"Powiat szydłowiecki";88,65;
1431000;"Powiat warszawski";;
1432000;"Powiat warszawski zachodni";92,27;
1433000;"Powiat węgrowski";94,64;
1434000;"Powiat wołomiński";95,69;
1435000;"Powiat wyszkowski";95,82;
1436000;"Powiat zwoleński";91,06;
1437000;"Powiat żuromiński";92,22;
1438000;"Powiat żyrardowski";94,41;
1461000;"Powiat m. Ostrołęka";115,02;
1462000;"Powiat m. Płock";111,30;
1463000;"Powiat m. Radom";102,25;
1464000;"Powiat m. Siedlce";110,85;
1465000;"Powiat m. st. Warszawa";101,89;
1601000;"Powiat brzeski";91,02;
1602000;"Powiat głubczycki";89,64;
1603000;"Powiat kędzierzyńsko-kozielski";96,03;
1604000;"Powiat kluczborski";92,21;
1605000;"Powiat krapkowicki";93,86;
1606000;"Powiat namysłowski";91,65;
1607000;"Powiat nyski";90,14;
1608000;"Powiat oleski";94,91;
1609000;"Powiat opolski";86,55;
1610000;"Powiat prudnicki";93,97;
1611000;"Powiat strzelecki";94,10;
1661000;"Powiat m. Opole";106,37;
1801000;"Powiat bieszczadzki";88,19;
1802000;"Powiat brzozowski";92,10;
1803000;"Powiat dębicki";91,70;
1804000;"Powiat jarosławski";90,58;
1805000;"Powiat jasielski";90,99;
1806000;"Powiat kolbuszowski";83,80;
1807000;"Powiat krośnieński";85,77;
1808000;"Powiat leżajski";89,34;
1809000;"Powiat lubaczowski";88,01;
1810000;"Powiat łańcucki";91,77;
1811000;"Powiat mielecki";92,62;
1812000;"Powiat niżański";83,60;
1813000;"Powiat przemyski";75,02;
1814000;"Powiat przeworski";92,66;
1815000;"Powiat ropczycko-sędziszowski";91,75;
1816000;"Powiat rzeszowski";86,60;
1817000;"Powiat sanocki";88,06;
1818000;"Powiat stalowowolski";91,55;
1819000;"Powiat strzyżowski";93,43;
1820000;"Powiat tarnobrzeski";82,67;
1821000;"Powiat leski";86,63;
1861000;"Powiat m. Krosno";111,52;
1862000;"Powiat m. Przemyśl";109,84;
1863000;"Powiat m. Rzeszów";108,35;
1864000;"Powiat m. Tarnobrzeg";100,28;
2001000;"Powiat augustowski";90,83;
2002000;"Powiat białostocki";71,04;
2003000;"Powiat bielski";90,34;
2004000;"Powiat grajewski";88,66;
2005000;"Powiat hajnowski";88,86;
2006000;"Powiat kolneński";89,91;
