"Kod";"Nazwa";"emisja ogółem na km2;2021;[t]";
1425000;"Powiat radomski";20,31;
1426000;"Powiat siedlecki";8,27;
1427000;"Powiat sierpecki";48,38;
1428000;"Powiat sochaczewski";54,24;
1429000;"Powiat sokołowski";28,44;
1430000;"Powiat szydłowiecki";29,77;
1432000;"Powiat warszawski zachodni";38,09;
1433000;"Powiat węgrowski";8,16;
1434000;"Powiat wołomiński";48,40;
1435000;"Powiat wyszkowski";62,86;
1436000;"Powiat zwoleński";5,51;
1437000;"Powiat żuromiński";14,58;
1438000;"Powiat żyrardowski";103,47;
1461000;"Powiat m. Ostrołęka";79864,64;
1462000;"Powiat m. Płock";79250,10;
1463000;"Powiat m. Radom";2535,57;
1464000;"Powiat m. Siedlce";5116,75;
1465000;"Powiat m. st. Warszawa";11356,45;
1601000;"Powiat brzeski";123,53;
1602000;"Powiat głubczycki";14,16;
1603000;"Powiat kędzierzyńsko-kozielski";1977,17;
1604000;"Powiat kluczborski";67,28;
1605000;"Powiat krapkowicki";8899,27;
1606000;"Powiat namysłowski";45,79;
1607000;"Powiat nyski";367,67;
1608000;"Powiat oleski";22,79;
1609000;"Powiat opolski";210,69;
1610000;"Powiat prudnicki";32,40;
1611000;"Powiat strzelecki";119,79;
1661000;"Powiat m. Opole";75935,80;
1801000;"Powiat bieszczadzki";20,60;
1802000;"Powiat brzozowski";1,33;
1803000;"Powiat dębicki";103,75;
1804000;"Powiat jarosławski";173,61;
1805000;"Powiat jasielski";199,00;
1806000;"Powiat kolbuszowski";61,40;
1807000;"Powiat krośnieński";43,80;
1808000;"Powiat leżajski";243,30;
1809000;"Powiat lubaczowski";0,43;
1810000;"Powiat łańcucki";97,87;
1811000;"Powiat mielecki";240,98;
1813000;"Powiat przemyski";0,08;
1814000;"Powiat przeworski";5,82;
1815000;"Powiat ropczycko-sędziszowski";113,82;
1816000;"Powiat rzeszowski";36,65;
1817000;"Powiat sanocki";58,82;
1818000;"Powiat stalowowolski";203,18;
1820000;"Powiat tarnobrzeski";61,71;
1821000;"Powiat leski";0,09;
1861000;"Powiat m. Krosno";2678,89;
1862000;"Powiat m. Przemyśl";1795,96;
1863000;"Powiat m. Rzeszów";4186,53;
1864000;"Powiat m. Tarnobrzeg";758,09;
2001000;"Powiat augustowski";28,13;
2002000;"Powiat białostocki";59,58;
2003000;"Powiat bielski";15,43;
2004000;"Powiat grajewski";348,49;
2005000;"Powiat hajnowski";37,92;
2006000;"Powiat kolneński";22,59;
2007000;"Powiat łomżyński";20,39;
2008000;"Powiat moniecki";23,79;
2009000;"Powiat sejneński";4,04;
2010000;"Powiat siemiatycki";10,10;
2011000;"Powiat sokólski";17,25;
2013000;"Powiat wysokomazowiecki";61,52;
2014000;"Powiat zambrowski";225,18;
2061000;"Powiat m. Białystok";8870,68;
2062000;"Powiat m. Łomża";2616,97;
2063000;"Powiat m. Suwałki";2749,11;
2201000;"Powiat bytowski";18,37;
2202000;"Powiat chojnicki";23,49;
2203000;"Powiat człuchowski";14,03;
2204000;"Powiat gdański";3,34;
2205000;"Powiat kartuski";12,14;
2206000;"Powiat kościerski";41,93;
2207000;"Powiat kwidzyński";1854,81;
2208000;"Powiat lęborski";182,50;
2209000;"Powiat malborski";203,70;
2210000;"Powiat nowodworski";6,09;
2211000;"Powiat pucki";14,04;
2212000;"Powiat słupski";12,45;
2213000;"Powiat starogardzki";279,37;
2214000;"Powiat tczewski";185,12;
2215000;"Powiat wejherowski";75,20;
2216000;"Powiat sztumski";45,97;
2261000;"Powiat m. Gdańsk";12623,73;
2262000;"Powiat m. Gdynia";5055,37;
2263000;"Powiat m. Słupsk";3580,47;
2264000;"Powiat m. Sopot";7,88;
2401000;"Powiat będziński";5883,06;
2402000;"Powiat bielski";746,49;
