Nazwa;emisja szkodliwych gazów na km2;Wspó³czynnik zawartych ma³¿eñstw;Nak³ady inwestycyjne w przedsiêbiorstwach ;Poszkodowani w wypadkach przy pracy;wspó³czynnik skolaryzacji netto;Stopa bezrobocia;Przeciêtne wynagrodzenie brutto
;2021;2021;2021;2021;2021;2021;2021
;tona;1/1000 mieszkañcow;Na 1 mieszkañca;Na 1000 osób pracuj¹cych;%;%;z³
Powiat œredzki;89,79;4,9;4939;5,32;96,80;5,5;5473,17
Powiat œremski;38,60;4,2;2829;5,52;97,64;2,2;4935,64
Powiat turecki;9,24;4,7;3588;4,55;95,31;3,9;4404,21
Powiat w¹growiecki;5,05;4,6;2322;4,51;92,64;5,2;4879,33
Powiat wolsztyñski;23,04;4,8;2605;4,64;97,71;2,1;4899,60
Powiat wrzesiñski;66,10;5,0;3990;4,74;96,18;4,1;5142,47
Powiat z³otowski;18,70;4,5;2320;3,65;90,70;4,8;4301,59
Powiat m. Kalisz;1707,78;3,5;4188;5,63;110,33;3,2;5158,07
Powiat m. Konin;66698,87;3,9;15485;5,75;116,93;6,3;5369,58
Powiat m. Leszno;1779,88;4,1;4867;6,07;116,23;2,8;5000,33
Powiat m. Poznañ;7198,42;5,0;8983;4,53;113,01;1,6;6662,69
Powiat bia³ogardzki;134,97;4,2;2851;7,64;89,94;17,2;5146,91
Powiat choszczeñski;7,32;4,1;5864;4,71;89,15;18,1;4981,01
Powiat drawski;13,96;4,0;2598;6,17;86,90;13,0;4789,08
Powiat goleniowski;25,83;4,1;5668;6,57;92,49;4,4;5439,72
Powiat gryfiñski;1257,50;3,9;8834;5,40;89,19;7,7;5297,93
Powiat kamieñski;0,23;4,3;2343;2,75;87,77;15,8;4623,87
Powiat ko³obrzeski;118,24;4,0;2385;5,00;92,30;4,3;5000,76
Powiat koszaliñski;11,56;4,2;3406;7,78;72,89;13,9;5100,02
Powiat myœliborski;76,14;3,8;2850;5,56;92,10;6,3;4927,15
Powiat policki;1998,14;3,3;15437;5,17;77,36;4,5;5844,37
Powiat pyrzycki;0,34;4,2;2624;5,26;89,61;12,1;5265,00
Powiat s³awieñski;26,57;4,2;1197;3,92;88,83;14,4;4747,64
Powiat stargardzki;96,16;4,2;5912;6,78;92,78;7,7;5126,31
Powiat szczecinecki;310,68;4,2;4166;4,63;87,93;14,9;5255,69
Powiat œwidwiñski;19,29;3,9;1489;3,67;87,78;12,9;4704,50
Powiat wa³ecki;70,60;3,8;2670;7,86;90,57;8,9;5224,57
Powiat ³obeski;15,11;3,8;1926;3,80;87,61;16,0;4962,09
Powiat m. Koszalin;1306,50;4,1;3294;8,85;109,73;5,5;5496,02
Powiat m. Szczecin;4946,34;4,9;5429;4,68;104,62;3,3;6244,67
Powiat m. Œwinoujœcie;332,77;4,6;16988;6,69;99,31;4,2;5564,41
