Nazwa;emisja szkodliwych gazów na km2;Wspó³czynnik zawartych ma³¿eñstw;Nak³ady inwestycyjne w przedsiêbiorstwach ;Poszkodowani w wypadkach przy pracy;wspó³czynnik skolaryzacji netto;Stopa bezrobocia;Przeciêtne wynagrodzenie brutto
;2021;2021;2021;2021;2021;2021;2021
;tona;1/1000 mieszkañcow;Na 1 mieszkañca;Na 1000 osób pracuj¹cych;%;%;z³
Powiat nowosolski;29,93;4,1;7050;5,75;91,94;5,2;5132,85
Powiat s³ubicki;14,32;5,1;3773;3,24;97,55;2,5;4733,20
Powiat strzelecko-drezdenecki;48,15;3,8;7676;4,40;89,79;10,4;5038,23
Powiat sulêciñski;6,20;3,6;4834;8,60;92,00;4,7;4685,18
Powiat œwiebodziñski;48,91;3,9;6629;8,48;93,15;3,2;5242,75
Powiat zielonogórski;90,30;4,2;4446;5,30;86,90;8,6;5392,72
Powiat ¿agañski;53,01;4,4;1692;6,14;88,40;7,1;4823,38
Powiat ¿arski;303,10;3,8;4384;6,68;92,96;5,9;5659,45
Powiat wschowski;0,80;4,6;3494;6,05;92,25;8,5;4866,09
Powiat m. Gorzów Wielkopolski;5163,60;4,9;4654;3,95;104,57;2,6;5242,27
Powiat m. Zielona Góra;2200,37;3,9;6201;5,14;104,48;3,5;5697,74
Powiat be³chatowski;34404,86;4,5;6856;4,76;94,18;5,2;7288,32
Powiat kutnowski;160,26;4,1;6791;7,48;96,55;8,5;5228,84
Powiat ³aski;31,95;4,1;4015;4,94;90,21;8,2;4475,37
Powiat ³owicki;79,05;4,3;2023;6,74;96,00;5,6;4866,80
Powiat ³ódzki wschodni;26,61;3,9;4654;3,24;87,80;5,8;4921,85
Powiat opoczyñski;172,45;4,8;3106;4,10;94,13;7,8;4877,79
Powiat pabianicki;113,91;3,8;3474;5,11;91,26;6,5;5097,18
Powiat pajêczañski;2136,31;4,8;4604;1,71;93,14;9,4;4878,09
Powiat piotrkowski;10,64;4,5;1036;4,56;88,01;6,8;4657,40
Powiat radomszczañski;60,26;4,2;3698;5,79;92,05;5,3;4807,65
Powiat rawski;6,96;4,5;2901;4,80;99,69;3,4;5001,06
Powiat sieradzki;59,85;4,7;2394;5,31;94,65;5,7;5105,75
Powiat skierniewicki;0,65;4,7;2704;2,14;85,25;5,0;4861,50
Powiat tomaszowski;442,81;4,6;4940;4,47;94,42;8,0;4926,75
Powiat wieluñski;62,00;4,2;1966;6,03;95,88;6,2;4994,12
Powiat wieruszowski;218,42;4,8;2015;7,06;96,16;5,1;4510,26
Powiat zduñskowolski;230,58;3,6;4409;6,50;95,11;6,5;4818,67
Powiat zgierski;265,65;4,1;6417;5,75;91,22;5,5;5476,77
Powiat brzeziñski;39,53;3,7;474;2,96;85,80;7,8;4605,78
Powiat m. £ódŸ;7463,58;4,4;4950;5,09;102,79;5,8;6062,04
Powiat m. Piotrków Trybunalski;2060,75;3,8;5016;4,12;102,40;5,6;5029,34
Powiat m. Skierniewice;2427,83;4,5;2938;8,68;108,61;5,3;5145,34
Powiat bocheñski;122,34;4,5;1769;3,61;94,60;4,4;5056,61
Powiat brzeski;24,49;4,6;2999;4,06;91,23;6,1;4676,17
Powiat chrzanowski;3152,79;3,8;5611;4,10;95,34;7,4;5321,95
Powiat gorlicki;47,16;4,4;1773;4,87;92,48;7,0;4619,28
Powiat krakowski;1036,68;3,9;3177;3,24;84,51;5,5;5562,32
Powiat limanowski;16,44;5,3;2009;3,20;93,22;8,1;4650,69
Powiat miechowski;28,98;4,0;1207;2,21;94,04;5,3;4906,57
Powiat myœlenicki;16,51;4,9;1365;3,81;93,99;3,2;5025,52
Powiat nowos¹decki;7,11;5,1;2283;4,53;89,61;9,6;4540,71
Powiat nowotarski;14,12;4,6;2065;3,26;91,97;7,2;4664,68
Powiat olkuski;550,69;4,1;5312;5,91;94,46;7,5;5266,62
Powiat oœwiêcimski;1596,62;4,4;6247;5,94;97,41;6,0;5422,84
Powiat proszowicki;7,68;4,2;1002;2,88;91,73;6,3;4968,09
Powiat suski;33,35;4,9;3994;4,50;91,64;5,5;4955,34
Powiat tarnowski;47,82;4,8;1317;3,61;86,38;8,2;4516,68
