Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
620000,Powiat zamojski,"25,52","4,2",1025,"2,13","78,69","12,9","4373,85"
661000,Powiat m. Biała Podlaska,"1274,63","4,4",3038,"4,07","111,71","9,1","4984,69"
662000,Powiat m. Chełm,"39594,29","4,0",1920,"4,65","105,47","10,2","4945,78"
663000,Powiat m. Lublin,"5340,01","4,7",5343,"5,84","110,07","5,2","5833,53"
664000,Powiat m. Zamość,"2643,43","3,9",5262,"6,66","111,25","8,9","5405,57"
801000,Powiat gorzowski,"273,26","3,6",6404,"4,39","85,62","4,1","5419,18"
802000,Powiat krośnieński,"106,66","4,2",2481,"5,19","90,40","7,9","5127,37"
803000,Powiat międzyrzecki,"37,70","3,7",7204,"5,57","90,71","7,6","5085,53"
804000,Powiat nowosolski,"29,93","4,1",7050,"5,75","91,94","5,2","5132,85"
805000,Powiat słubicki,"14,32","5,1",3773,"3,24","97,55","2,5","4733,20"
806000,Powiat strzelecko-drezdenecki,"48,15","3,8",7676,"4,40","89,79","10,4","5038,23"
807000,Powiat sulęciński,"6,20","3,6",4834,"8,60","92,00","4,7","4685,18"
808000,Powiat świebodziński,"48,91","3,9",6629,"8,48","93,15","3,2","5242,75"
809000,Powiat zielonogórski,"90,30","4,2",4446,"5,30","86,90","8,6","5392,72"
810000,Powiat żagański,"53,01","4,4",1692,"6,14","88,40","7,1","4823,38"
811000,Powiat żarski,"303,10","3,8",4384,"6,68","92,96","5,9","5659,45"
812000,Powiat wschowski,"0,80","4,6",3494,"6,05","92,25","8,5","4866,09"
861000,Powiat m. Gorzów Wielkopolski,"5163,60","4,9",4654,"3,95","104,57","2,6","5242,27"
862000,Powiat m. Zielona Góra,"2200,37","3,9",6201,"5,14","104,48","3,5","5697,74"
1001000,Powiat bełchatowski,"34404,86","4,5",6856,"4,76","94,18","5,2","7288,32"
1002000,Powiat kutnowski,"160,26","4,1",6791,"7,48","96,55","8,5","5228,84"
1003000,Powiat łaski,"31,95","4,1",4015,"4,94","90,21","8,2","4475,37"
1005000,Powiat łowicki,"79,05","4,3",2023,"6,74","96,00","5,6","4866,80"
1006000,Powiat łódzki wschodni,"26,61","3,9",4654,"3,24","87,80","5,8","4921,85"
1007000,Powiat opoczyński,"172,45","4,8",3106,"4,10","94,13","7,8","4877,79"
1008000,Powiat pabianicki,"113,91","3,8",3474,"5,11","91,26","6,5","5097,18"
1009000,Powiat pajęczański,"2136,31","4,8",4604,"1,71","93,14","9,4","4878,09"
1010000,Powiat piotrkowski,"10,64","4,5",1036,"4,56","88,01","6,8","4657,40"
1012000,Powiat radomszczański,"60,26","4,2",3698,"5,79","92,05","5,3","4807,65"
1013000,Powiat rawski,"6,96","4,5",2901,"4,80","99,69","3,4","5001,06"
1014000,Powiat sieradzki,"59,85","4,7",2394,"5,31","94,65","5,7","5105,75"
1015000,Powiat skierniewicki,"0,65","4,7",2704,"2,14","85,25","5,0","4861,50"
1016000,Powiat tomaszowski,"442,81","4,6",4940,"4,47","94,42","8,0","4926,75"
1017000,Powiat wieluński,"62,00","4,2",1966,"6,03","95,88","6,2","4994,12"
1018000,Powiat wieruszowski,"218,42","4,8",2015,"7,06","96,16","5,1","4510,26"
1019000,Powiat zduńskowolski,"230,58","3,6",4409,"6,50","95,11","6,5","4818,67"
1020000,Powiat zgierski,"265,65","4,1",6417,"5,75","91,22","5,5","5476,77"
1021000,Powiat brzeziński,"39,53","3,7",474,"2,96","85,80","7,8","4605,78"
1061000,Powiat m. Łódź,"7463,58","4,4",4950,"5,09","102,79","5,8","6062,04"
1062000,Powiat m. Piotrków Trybunalski,"2060,75","3,8",5016,"4,12","102,40","5,6","5029,34"
1063000,Powiat m. Skierniewice,"2427,83","4,5",2938,"8,68","108,61","5,3","5145,34"
1201000,Powiat bocheński,"122,34","4,5",1769,"3,61","94,60","4,4","5056,61"
1202000,Powiat brzeski,"24,49","4,6",2999,"4,06","91,23","6,1","4676,17"
1203000,Powiat chrzanowski,"3152,79","3,8",5611,"4,10","95,34","7,4","5321,95"
1205000,Powiat gorlicki,"47,16","4,4",1773,"4,87","92,48","7,0","4619,28"
1206000,Powiat krakowski,"1036,68","3,9",3177,"3,24","84,51","5,5","5562,32"
1207000,Powiat limanowski,"16,44","5,3",2009,"3,20","93,22","8,1","4650,69"
1208000,Powiat miechowski,"28,98","4,0",1207,"2,21","94,04","5,3","4906,57"
1209000,Powiat myślenicki,"16,51","4,9",1365,"3,81","93,99","3,2","5025,52"
1210000,Powiat nowosądecki,"7,11","5,1",2283,"4,53","89,61","9,6","4540,71"
