Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
2601000,Powiat buski,"28,52","4,4",1486,"4,42","91,71","4,9","4912,74"
2602000,Powiat jędrzejowski,"838,37","4,0",1879,"4,57","92,80","7,7","5350,78"
2603000,Powiat kazimierski,"9,59","4,2",1360,"1,47","91,25","11,9","4616,89"
2604000,Powiat kielecki,"683,72","4,4",1529,"4,04","85,19","9,5","4789,44"
2605000,Powiat konecki,"173,94","4,5",1870,"4,30","91,15","11,6","4922,90"
2606000,Powiat opatowski,"2338,13","4,2",1761,"2,92","86,96","17,1","4619,32"
2607000,Powiat ostrowiecki,"450,35","3,7",2799,"4,70","89,71","10,3","4912,01"
2608000,Powiat pińczowski,"142,41","4,6",1675,"5,13","92,24","8,1","4885,52"
2609000,Powiat sandomierski,"199,08","4,3",1307,"5,12","92,27","7,8","5414,24"
2610000,Powiat skarżyski,"124,71","3,8",2234,"4,48","88,71","16,5","5118,05"
2611000,Powiat starachowicki,"299,73","4,1",5470,"7,34","91,36","9,8","5500,36"
2612000,Powiat staszowski,"8934,20","4,8",3425,"4,39","91,90","6,7","5167,98"
2613000,Powiat włoszczowski,"484,29","4,8",3466,"1,91","91,96","7,9","5238,84"
2661000,Powiat m. Kielce,"3105,55","3,7",5628,"7,25","106,40","5,2","5648,73"
2801000,Powiat bartoszycki,"18,48","4,0",935,"7,73","89,56","19,8","4953,67"
2802000,Powiat braniewski,"27,69","3,6",1694,"4,50","86,85","18,6","4875,92"
2803000,Powiat działdowski,"51,09","5,4",3053,"7,59","92,40","12,4","4657,91"
2804000,Powiat elbląski,"26,57","3,6",1969,"8,32","74,81","14,7","4690,74"
2805000,Powiat ełcki,"120,12","4,4",5025,"4,91","88,72","12,0","4764,65"
2806000,Powiat giżycki,"35,99","3,9",2331,"7,87","90,82","8,9","4901,26"
2807000,Powiat iławski,"86,12","4,5",3584,"6,17","92,61","4,2","4557,38"
2808000,Powiat kętrzyński,"26,30","2,8",1589,"9,35","87,90","19,8","4881,27"
2809000,Powiat lidzbarski,"59,05","3,4",2660,"8,24","89,56","12,7","4700,72"
2810000,Powiat mrągowski,"61,71","3,5",5523,"5,21","90,92","9,7","4714,65"
2811000,Powiat nidzicki,"11,69","3,9",2026,"6,04","89,33","6,0","4657,75"
2812000,Powiat nowomiejski,"16,60","4,4",2112,"4,23","90,07","10,6","4342,17"
2813000,Powiat olecki,"52,73","3,3",2004,"4,41","91,43","11,0","4920,30"
2814000,Powiat olsztyński,"16,21","3,9",3056,"5,51","77,34","8,0","5205,74"
2815000,Powiat ostródzki,"76,62","3,7",2481,"6,12","90,17","9,6","4851,18"
2816000,Powiat piski,"46,70","4,2",1263,"6,24","87,12","14,3","4968,35"
2817000,Powiat szczycieński,"34,06","4,3",3106,"7,86","89,94","9,3","4946,10"
2819000,Powiat węgorzewski,"5,36","3,5",990,"9,62","88,00","16,4","4766,72"
2861000,Powiat m. Elbląg,"3796,11","4,5",3281,"7,10","97,44","6,8","5423,69"
2862000,Powiat m. Olsztyn,"4843,20","4,4",8877,"4,81","108,90","2,2","5902,66"
3001000,Powiat chodzieski,"20,51","3,8",4165,"7,39","96,87","7,5","5006,64"
3002000,Powiat czarnkowsko-trzcianecki,"238,29","4,0",6229,"8,59","93,49","3,7","5327,99"
3003000,Powiat gnieźnieński,"100,22","4,6",2777,"5,98","95,38","4,3","5162,09"
3004000,Powiat gostyński,"177,92","4,9",5581,"4,98","97,39","5,4","5174,68"
3006000,Powiat jarociński,"18,58","4,3",3625,"4,26","96,36","4,9","4720,74"
3007000,Powiat kaliski,"109,28","3,9",3639,"4,75","84,39","3,2","4553,66"
3008000,Powiat kępiński,"14,55","4,7",7258,"3,74","99,38","1,7","4244,56"
3009000,Powiat kolski,"102,73","4,4",3064,"5,41","93,92","3,6","5346,81"
3010000,Powiat koniński,"40,71","4,7",2156,"4,25","86,42","9,9","4457,33"
3011000,Powiat kościański,"0,03","4,7",2910,"4,64","95,54","2,8","5127,41"
3012000,Powiat krotoszyński,"47,04","4,8",16649,"3,78","95,99","2,6","4285,52"
3013000,Powiat leszczyński,"9,16","5,3",3990,"8,03","84,33","2,2","5274,63"
3014000,Powiat międzychodzki,"104,53","3,9",3577,"4,54","94,39","5,8","4891,36"
3015000,Powiat nowotomyski,"55,13","4,4",5258,"8,17","97,59","2,3","5215,49"
3017000,Powiat ostrowski,"114,99","4,9",4316,"8,21","95,24","2,8","4944,70"
3018000,Powiat ostrzeszowski,"15,81","5,1",3388,"5,28","95,98","3,4","4936,59"
3019000,Powiat pilski,"124,56","4,3",5212,"8,03","94,99","4,7","5371,98"
3021000,Powiat poznański,"15,98","4,3",7117,"5,36","88,45","1,6","5054,35"
3022000,Powiat rawicki,"78,07","4,6",7241,"7,39","94,67","3,5","4698,39"
3023000,Powiat słupecki,"27,59","4,1",2186,"5,52","94,69","7,5","4990,83"
3024000,Powiat szamotulski,"132,49","4,2",8023,"7,18","94,52","3,5","5726,53"
3025000,Powiat średzki,"89,79","4,9",4939,"5,32","96,80","5,5","5473,17"
3026000,Powiat śremski,"38,60","4,2",2829,"5,52","97,64","2,2","4935,64"
3027000,Powiat turecki,"9,24","4,7",3588,"4,55","95,31","3,9","4404,21"
3028000,Powiat wągrowiecki,"5,05","4,6",2322,"4,51","92,64","5,2","4879,33"
3029000,Powiat wolsztyński,"23,04","4,8",2605,"4,64","97,71","2,1","4899,60"
3030000,Powiat wrzesiński,"66,10","5,0",3990,"4,74","96,18","4,1","5142,47"
3031000,Powiat złotowski,"18,70","4,5",2320,"3,65","90,70","4,8","4301,59"
3061000,Powiat m. Kalisz,"1707,78","3,5",4188,"5,63","110,33","3,2","5158,07"
3062000,Powiat m. Konin,"66698,87","3,9",15485,"5,75","116,93","6,3","5369,58"
3063000,Powiat m. Leszno,"1779,88","4,1",4867,"6,07","116,23","2,8","5000,33"
3064000,Powiat m. Poznań,"7198,42","5,0",8983,"4,53","113,01","1,6","6662,69"
3201000,Powiat białogardzki,"134,97","4,2",2851,"7,64","89,94","17,2","5146,91"
3202000,Powiat choszczeński,"7,32","4,1",5864,"4,71","89,15","18,1","4981,01"
3203000,Powiat drawski,"13,96","4,0",2598,"6,17","86,90","13,0","4789,08"
3204000,Powiat goleniowski,"25,83","4,1",5668,"6,57","92,49","4,4","5439,72"
3206000,Powiat gryfiński,"1257,50","3,9",8834,"5,40","89,19","7,7","5297,93"
3207000,Powiat kamieński,"0,23","4,3",2343,"2,75","87,77","15,8","4623,87"
3208000,Powiat kołobrzeski,"118,24","4,0",2385,"5,00","92,30","4,3","5000,76"
3209000,Powiat koszaliński,"11,56","4,2",3406,"7,78","72,89","13,9","5100,02"
3210000,Powiat myśliborski,"76,14","3,8",2850,"5,56","92,10","6,3","4927,15"
3211000,Powiat policki,"1998,14","3,3",15437,"5,17","77,36","4,5","5844,37"
3212000,Powiat pyrzycki,"0,34","4,2",2624,"5,26","89,61","12,1","5265,00"
3213000,Powiat sławieński,"26,57","4,2",1197,"3,92","88,83","14,4","4747,64"
3214000,Powiat stargardzki,"96,16","4,2",5912,"6,78","92,78","7,7","5126,31"
3215000,Powiat szczecinecki,"310,68","4,2",4166,"4,63","87,93","14,9","5255,69"
3216000,Powiat świdwiński,"19,29","3,9",1489,"3,67","87,78","12,9","4704,50"
3217000,Powiat wałecki,"70,60","3,8",2670,"7,86","90,57","8,9","5224,57"
3218000,Powiat łobeski,"15,11","3,8",1926,"3,80","87,61","16,0","4962,09"
3261000,Powiat m. Koszalin,"1306,50","4,1",3294,"8,85","109,73","5,5","5496,02"
3262000,Powiat m. Szczecin,"4946,34","4,9",5429,"4,68","104,62","3,3","6244,67"
3263000,Powiat m. Świnoujście,"332,77","4,6",16988,"6,69","99,31","4,2","5564,41"
