"Kod";"Nazwa";"ogółem;2021;[%]";
1420000;"Powiat płoński";9,5;
1421000;"Powiat pruszkowski";2,9;
1422000;"Powiat przasnyski";9,4;
1423000;"Powiat przysuski";19,3;
1424000;"Powiat pułtuski";15,1;
1425000;"Powiat radomski";19,0;
1426000;"Powiat siedlecki";5,1;
1427000;"Powiat sierpecki";14,7;
1428000;"Powiat sochaczewski";4,2;
1429000;"Powiat sokołowski";6,1;
1430000;"Powiat szydłowiecki";26,3;
1432000;"Powiat warszawski zachodni";1,8;
1433000;"Powiat węgrowski";7,1;
1434000;"Powiat wołomiński";7,5;
1435000;"Powiat wyszkowski";3,8;
1436000;"Powiat zwoleński";13,9;
1437000;"Powiat żuromiński";17,1;
1438000;"Powiat żyrardowski";9,8;
1461000;"Powiat m. Ostrołęka";8,2;
1462000;"Powiat m. Płock";6,1;
1463000;"Powiat m. Radom";10,5;
1464000;"Powiat m. Siedlce";4,3;
1465000;"Powiat m. st. Warszawa";1,7;
1601000;"Powiat brzeski";8,3;
1602000;"Powiat głubczycki";10,6;
1603000;"Powiat kędzierzyńsko-kozielski";8,1;
1604000;"Powiat kluczborski";7,9;
1605000;"Powiat krapkowicki";5,9;
1606000;"Powiat namysłowski";9,0;
1607000;"Powiat nyski";8,4;
1608000;"Powiat oleski";4,6;
1609000;"Powiat opolski";6,7;
1610000;"Powiat prudnicki";9,1;
1611000;"Powiat strzelecki";4,6;
1661000;"Powiat m. Opole";3,2;
1801000;"Powiat bieszczadzki";17,3;
1802000;"Powiat brzozowski";22,3;
1803000;"Powiat dębicki";5,3;
1804000;"Powiat jarosławski";13,3;
1805000;"Powiat jasielski";14,1;
1806000;"Powiat kolbuszowski";9,4;
1807000;"Powiat krośnieński";7,8;
1808000;"Powiat leżajski";17,4;
1809000;"Powiat lubaczowski";12,4;
1810000;"Powiat łańcucki";12,3;
1811000;"Powiat mielecki";5,1;
1812000;"Powiat niżański";18,6;
1813000;"Powiat przemyski";20,5;
1814000;"Powiat przeworski";15,9;
1815000;"Powiat ropczycko-sędziszowski";13,1;
1816000;"Powiat rzeszowski";9,8;
1817000;"Powiat sanocki";7,4;
1818000;"Powiat stalowowolski";5,6;
1819000;"Powiat strzyżowski";19,3;
1820000;"Powiat tarnobrzeski";9,0;
1821000;"Powiat leski";19,6;
1861000;"Powiat m. Krosno";2,4;
1862000;"Powiat m. Przemyśl";11,0;
1863000;"Powiat m. Rzeszów";4,9;
1864000;"Powiat m. Tarnobrzeg";8,9;
2001000;"Powiat augustowski";10,0;
2002000;"Powiat białostocki";9,5;
2003000;"Powiat bielski";4,4;
2004000;"Powiat grajewski";12,8;
2005000;"Powiat hajnowski";8,2;
2006000;"Powiat kolneński";18,2;
2007000;"Powiat łomżyński";5,7;
2008000;"Powiat moniecki";8,5;
2009000;"Powiat sejneński";12,3;
2010000;"Powiat siemiatycki";6,8;
