"Kod";"Nazwa";"ogółem;2012;[zł]";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2021;[zł]";
042815600000;"PODREGION OLSZTYŃSKI";3335,89;3454,47;3588,25;3729,95;3847,78;4006,68;4233,47;4567,00;5421,76;
051011500000;"PODREGION ŁÓDZKI";2992,86;3110,25;3209,75;3394,76;3540,82;3792,68;4112,89;4425,94;5209,89;
051011600000;"PODREGION MIASTO ŁÓDŹ";3568,84;3710,91;3837,47;4047,78;4230,12;4462,50;4779,47;5174,84;6062,04;
051011700000;"PODREGION PIOTRKOWSKI";3716,14;3814,85;3909,40;4080,69;4112,94;4295,53;4577,43;4900,74;5672,66;
051011800000;"PODREGION SIERADZKI";2894,84;3027,70;3132,10;3244,38;3376,74;3598,36;3843,91;4162,04;4996,58;
051011900000;"PODREGION SKIERNIEWICKI";3036,60;3172,21;3276,14;3373,29;3519,19;3717,10;4019,94;4294,66;5078,74;
052615200000;"PODREGION KIELECKI";3232,85;3356,48;3431,51;3583,05;3664,89;3937,89;4185,79;4521,70;5319,61;
052615300000;"PODREGION SANDOMIERSKO-JĘDRZEJOWSKI";3291,86;3335,36;3445,26;3575,32;3679,81;3853,80;4138,65;4422,13;5138,20;
060610900000;"PODREGION BIALSKI";3099,43;3198,96;3282,31;3363,24;3469,05;3588,82;3779,33;4065,92;4799,77;
060611000000;"PODREGION CHEŁMSKO-ZAMOJSKI";3043,53;3130,90;3233,74;3347,11;3493,59;3634,30;3888,26;4154,10;4872,40;
060611100000;"PODREGION LUBELSKI";3683,93;3799,31;3945,88;4020,39;4123,72;4373,42;4634,87;4971,67;5746,61;
060611200000;"PODREGION PUŁAWSKI";3127,01;3236,43;3332,48;3454,98;3583,02;3781,03;3975,68;4243,38;4982,57;
061813300000;"PODREGION KROŚNIEŃSKI";2897,31;3021,02;3120,10;3238,01;3373,28;3563,31;3816,09;4114,56;4872,03;
061813400000;"PODREGION PRZEMYSKI";3075,10;3185,68;3273,45;3384,37;3500,55;3561,36;3787,30;4050,21;4852,38;
061813500000;"PODREGION RZESZOWSKI";3361,22;3505,38;3675,54;3808,78;3917,33;4092,84;4358,42;4665,14;5494,92;
061813600000;"PODREGION TARNOBRZESKI";3123,38;3249,28;3374,13;3462,01;3596,77;3839,87;4085,46;4382,29;5112,92;
062013700000;"PODREGION BIAŁOSTOCKI";3394,57;3506,84;3595,71;3723,50;3838,54;4026,05;4270,81;4592,65;5463,41;
062013800000;"PODREGION ŁOMŻYŃSKI";3205,05;3357,85;3449,04;3557,43;3723,90;4048,63;4328,50;4644,86;5505,78;
062013900000;"PODREGION SUWALSKI";3249,44;3353,13;3482,16;3584,33;3642,99;3887,15;4147,62;4425,12;5135,12;
071412800000;"PODREGION MIASTO WARSZAWA";5077,53;5226,05;5385,80;5591,46;5739,61;6059,04;6432,78;6802,60;7687,58;
071412900000;"PODREGION WARSZAWSKI WSCHODNI";3409,06;3507,11;3605,74;3709,70;3845,26;4067,86;4396,51;4752,58;5433,38;
071413000000;"PODREGION WARSZAWSKI ZACHODNI";4063,55;4218,58;4379,49;4470,39;4613,34;4770,87;5229,27;5610,69;6350,07;
071422500000;"PODREGION CIECHANOWSKI";3083,53;3184,93;3287,94;3416,70;3553,58;3772,07;4071,58;4413,70;5147,09;
071422600000;"PODREGION OSTROŁĘCKI";3321,92;3400,61;3543,29;3586,70;3733,47;3952,04;4175,95;4444,58;5218,29;
071422700000;"PODREGION RADOMSKI";3352,95;3466,95;3580,06;3667,17;3788,20;4029,81;4266,89;4546,40;5441,53;
071427000000;"PODREGION PŁOCKI";4072,92;4227,84;4327,54;4467,57;4595,35;4791,24;5083,15;5437,92;6408,11;
071427100000;"PODREGION SIEDLECKI";3194,93;3269,56;3413,81;3562,44;3646,06;3830,06;4097,88;4421,48;5232,74;
071427300000;"PODREGION ŻYRARDOWSKI";3634,02;3689,22;3905,08;3978,44;4111,52;4341,10;4582,52;4902,14;5864,86;
