"Kod";"Nazwa";"ogółem;2021;[zł]";
1412000;"Powiat miński";5091,06;
1413000;"Powiat mławski";4873,48;
1414000;"Powiat nowodworski";6814,66;
1415000;"Powiat ostrołęcki";4940,39;
1416000;"Powiat ostrowski";5168,08;
1417000;"Powiat otwocki";5622,45;
1418000;"Powiat piaseczyński";5664,70;
1419000;"Powiat płocki";5147,98;
1420000;"Powiat płoński";5279,65;
1421000;"Powiat pruszkowski";6773,28;
1422000;"Powiat przasnyski";5095,27;
1423000;"Powiat przysuski";5190,17;
1424000;"Powiat pułtuski";4975,47;
1425000;"Powiat radomski";4859,10;
1426000;"Powiat siedlecki";4861,68;
1427000;"Powiat sierpecki";4886,81;
1428000;"Powiat sochaczewski";6294,23;
1429000;"Powiat sokołowski";4932,00;
1430000;"Powiat szydłowiecki";4642,61;
1432000;"Powiat warszawski zachodni";6524,02;
1433000;"Powiat węgrowski";5150,92;
1434000;"Powiat wołomiński";5451,36;
1435000;"Powiat wyszkowski";4816,43;
1436000;"Powiat zwoleński";4990,00;
1437000;"Powiat żuromiński";4781,49;
1438000;"Powiat żyrardowski";5645,54;
1461000;"Powiat m. Ostrołęka";6091,07;
1462000;"Powiat m. Płock";7167,40;
1463000;"Powiat m. Radom";5626,71;
1464000;"Powiat m. Siedlce";5707,14;
1465000;"Powiat m. st. Warszawa";7687,58;
1601000;"Powiat brzeski";5157,08;
1602000;"Powiat głubczycki";5181,69;
1603000;"Powiat kędzierzyńsko-kozielski";6015,26;
1604000;"Powiat kluczborski";5108,36;
1605000;"Powiat krapkowicki";5787,32;
1606000;"Powiat namysłowski";5293,47;
1607000;"Powiat nyski";5053,60;
1608000;"Powiat oleski";4916,44;
1609000;"Powiat opolski";5101,21;
1610000;"Powiat prudnicki";4808,55;
1611000;"Powiat strzelecki";5238,85;
1661000;"Powiat m. Opole";6011,09;
1801000;"Powiat bieszczadzki";5297,99;
1802000;"Powiat brzozowski";4619,14;
1803000;"Powiat dębicki";5047,12;
1804000;"Powiat jarosławski";4926,98;
1805000;"Powiat jasielski";4953,43;
1806000;"Powiat kolbuszowski";4624,19;
1807000;"Powiat krośnieński";4432,75;
1808000;"Powiat leżajski";4829,48;
1809000;"Powiat lubaczowski";4600,59;
1810000;"Powiat łańcucki";4735,69;
1811000;"Powiat mielecki";5233,93;
1812000;"Powiat niżański";4530,20;
1813000;"Powiat przemyski";4472,14;
1814000;"Powiat przeworski";4697,54;
1815000;"Powiat ropczycko-sędziszowski";4730,10;
1816000;"Powiat rzeszowski";4995,32;
1817000;"Powiat sanocki";4903,78;
1818000;"Powiat stalowowolski";5263,24;
1819000;"Powiat strzyżowski";4406,16;
1820000;"Powiat tarnobrzeski";5181,79;
1821000;"Powiat leski";5247,07;
1861000;"Powiat m. Krosno";4981,20;
1862000;"Powiat m. Przemyśl";5100,21;
1863000;"Powiat m. Rzeszów";6072,54;
1864000;"Powiat m. Tarnobrzeg";5062,44;
2001000;"Powiat augustowski";5452,84;
2002000;"Powiat białostocki";4979,46;
2003000;"Powiat bielski";6292,55;
2004000;"Powiat grajewski";5526,33;
2005000;"Powiat hajnowski";5821,15;
2006000;"Powiat kolneński";4825,66;
2007000;"Powiat łomżyński";5432,47;
2008000;"Powiat moniecki";4979,24;
2009000;"Powiat sejneński";4537,00;
2010000;"Powiat siemiatycki";4834,47;
2011000;"Powiat sokólski";4968,42;
2012000;"Powiat suwalski";4724,29;
2013000;"Powiat wysokomazowiecki";5395,07;
2014000;"Powiat zambrowski";5085,38;
2061000;"Powiat m. Białystok";5650,97;
2062000;"Powiat m. Łomża";5352,29;
